ICAO,Name,State/Territory,Country,Timezone
KTTN,Trenton Mercer Airport,New Jersey,United States,America/New_York
LIPQ,Trieste Airport,,Italy,Europe/Rome
SLTR,Teniente Av. Jorge Henrich Arauz Airport,,Bolivia,America/La_Paz
HLLT,Tripoli,,Libya,Africa/Tripoli
ENTC,Troms Airport,,Norway,Europe/Oslo
ENVA,"Trondheim Airport, Vrnes",,Norway,Europe/Oslo
KTUS,Tucson International Airport,Arizona,United States,America/Phoenix
SANT,Teniente Benjamin Matienzo International Airport,,Argentina,America/Argentina/Tucuman
KTUL,Tulsa International Airport,Oklahoma,United States,America/Chicago
MMTL,Felipe Carrillo Puerto International Airport Tulum,,Mexico,America/Cancun
DTTA,Tunis Carthage International Airport,,Tunisia,Africa/Tunis
KTUP,Tupelo Regional Airport,Mississippi,United States,America/Chicago
OETR,Turaif Domestic Airport,,Saudi Arabia,Asia/Riyadh
LIMF,Turin Airport,,Italy,Europe/Rome
EFTU,Turku Airport,,Finland,Europe/Helsinki
MMTG,Angel Albino Corzo International Airport,,Mexico,America/Mexico_City
VVTH,Dong Tac Airport,,Vietnam,Asia/Saigon
EHTW,Twente Airport,,Netherlands,Europe/Amsterdam
KTWF,Joslin Field Magic Valley Regional Airport,Idaho,United States,America/Denver
KTYR,Tyler Pounds Regional Airport,Texas,United States,America/Chicago
SBUL,Ten. Cel. Aviador Cesar Bombonato Airport,,Brazil,America/Sao_Paulo
WAAA,Sultan Hasanuddin International Airport,,Indonesia,Asia/Makassar
ZMUB,Buyant-Ukhaa International Airport,,Mongolia,Asia/Ulaanbaatar
RKPU,Ulsan Airport,,South Korea,Asia/Seoul
ZWWW,Urumqi Tianshan International Airport,,China,Asia/Shanghai
SAWH,Ushuaia - Malvinas Argentinas International Airport,,Argentina,America/Argentina/Ushuaia
EFVA,Vaasa Airport,,Finland,Europe/Helsinki
KEGE,Eagle County Regional Airport,Colorado,United States,America/Denver
KVLD,Valdosta Regional Airport,Georgia,United States,America/New_York
LEVC,Valencia Airport,,Spain,Europe/Madrid
CYVR,Vancouver International Airport,British Columbia,Canada,America/Vancouver
MUVR,Juan Gualberto Gomez International Airport,,Cuba,America/Havana
LIPZ,Venice Marco Polo Airport,,Italy,Europe/Rome
MMVR,General Heriberto Jara International Airport,,Mexico,America/Mexico_City
KVRB,Vero Beach Regional Airport,Florida,United States,America/New_York
LIPX,Verona Villafranca Valerio Catullo Airport,,Italy,Europe/Rome
CYYJ,Victoria International Airport,British Columbia,Canada,America/Vancouver
FVFA,Victoria Falls International Airport,,Zimbabwe,Africa/Harare
KVCT,Victoria Regional Airport,Texas,United States,America/Chicago
KVCV,Southern California Logistics Airport,California,United States,America/Los_Angeles
LOWW,Vienna International Airport,,Austria,Europe/Vienna
VLVT,Wattay International Airport,,Laos,Asia/Vientiane
LEVX,Vigo Airport,,Spain,Europe/Madrid
MMVA,Carlos Rovirosa Perez International Airport,,Mexico,America/Mexico_City
EYVI,Vilnius International Airport,,Lithuania,Europe/Vilnius
KMVY,Martha's Vineyard Airport,Massachusetts,United States,America/New_York
VVVH,Vinh Airport,,Vietnam,Asia/Saigon
TUPW,Virgin Gorda Airport,,British Virgin Islands,America/Tortola
SBVT,Eurico de Aguiar Salles International Airport,,Brazil,America/Sao_Paulo
KACT,Waco Regional Airport,Texas,United States,America/Chicago
OEWD,Wadi Al Dawasir Domestic Airport,,Saudi Arabia,Asia/Riyadh
YSWG,Wagga Wagga Airport,New South Wales,Australia,Australia/Sydney
PWAK,Wake Island Airfield,,United States Minor Outlying Islands,Pacific/Johnston
KALW,Walla Walla Regional Airport,Washington,United States,America/Los_Angeles
ZUWX,Wanzhou Wuqiao Airport,,China,Asia/Shanghai
EPWA,Warsaw Chopin Airport,,Poland,Europe/Warsaw
KIAD,Washington Dulles International Airport,Virginia,United States,America/New_York
KDCA,Ronald Reagan Washington National Airport,District Of Columbia,United States,America/New_York
KALO,Waterloo Regional Airport,Iowa,United States,America/Chicago
KATY,Watertown Regional Airport,South Dakota,United States,America/Chicago
CYQH,Watson Lake Airport,Yukon,Canada,America/Vancouver
KAUW,Wausau Downtown Airport,Wisconsin,United States,America/Chicago
KCWA,Central Wisconsin Airport,Wisconsin,United States,America/Chicago
ZSWH,Weihai Dashuibo Airport,,China,Asia/Shanghai
KEAT,Pangborn Memorial Airport,Washington,United States,America/Los_Angeles
ZSWZ,Wenzhou Longwan International Airport,,China,Asia/Shanghai
KPBI,Palm Beach International Airport,Florida,United States,America/New_York
KWYS,Yellowstone Airport,Montana,United States,America/Denver
CYXY,Whitehorse / Erik Nielsen International Airport,Yukon,Canada,America/Vancouver
KHPN,Westchester County Airport,New York,United States,America/New_York
KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,Texas,United States,America/Chicago
KICT,Wichita Dwight D. Eisenhower National Airport,Kansas,United States,America/Chicago
KAVP,Wilkes-Barre/Scranton International Airport,Pennsylvania,United States,America/New_York
KISN,Williston,North Dakota,United States,America/Chicago
KXWA,Williston Basin International Airport,North Dakota,United States,America/Chicago
KILG,Wilmington Airport,Delaware,United States,America/New_York
KILM,Wilmington International Airport,North Carolina,United States,America/New_York
FYWH,Hosea Kutako International Airport,,Namibia,Africa/Windhoek
CYQG,Windsor International Airport,Ontario,Canada,America/Toronto
CYWG,Winnipeg / James Armstrong Richardson International Airport,Manitoba,Canada,America/Winnipeg
KONA,Winona Municipal Airport Max Conrad Field,Minnesota,United States,America/Chicago
KINT,Smith Reynolds Airport,North Carolina,United States,America/New_York
KOLF,L M Clayton Airport,Montana,United States,America/Denver
KORH,Worcester Regional Airport,Massachusetts,United States,America/New_York
KOTG,Worthington Municipal Airport,Minnesota,United States,America/Chicago
EPWR,Copernicus Wrocaw Airport,,Poland,Europe/Warsaw
ZBUH,Wuhai Airport,,China,Asia/Shanghai
ZHHH,Wuhan Tianhe International Airport,,China,Asia/Shanghai
ZSWX,Sunan Shuofang International Airport,,China,Asia/Shanghai
ZPDL,Dali Fengyi Airport,,China,Asia/Shanghai
ZSAM,Xiamen Gaoqi International Airport,,China,Asia/Shanghai
ZLXY,Xi'an Xianyang International Airport,,China,Asia/Shanghai
ZUXC,Xichang Qingshan Airport,,China,Asia/Shanghai
ZUYI,Xingyi Wanfenglin Airport,,China,Asia/Shanghai
ZLXN,Xining Caojiabao International Airport,,China,Asia/Shanghai
ZBXZ,Xinzhou Wutaishan Airport,,China,Asia/Shanghai
KYKM,Yakima Air Terminal McAllister Field,Washington,United States,America/Los_Angeles
PAYA,Yakutat Airport,Alaska,United States,America/Anchorage
ZLYA,Yan'an Nanniwan Airport,,China,Asia/Shanghai
ZSYN,Yancheng Nanyang International Airport,,China,Asia/Shanghai
VYYY,Yangon International Airport,,Myanmar,Asia/Rangoon
ZYYJ,Yanji Chaoyangchuan Airport,,China,Asia/Shanghai
KYKN,Chan Gurney Municipal Airport,South Dakota,United States,America/Chicago
ZSYT,Yantai Penglai International Airport,,China,Asia/Shanghai
FKYS,Yaounde Nsimalen International Airport,,Cameroon,Africa/Douala
CYZF,Yellowknife International Airport,Northwest Territories,Canada,America/Edmonton
OEYN,Prince Abdulmohsen Bin Abdulaziz International Airport,,Saudi Arabia,Asia/Riyadh
RKJY,Yeosu Airport,,South Korea,Asia/Seoul
